yrmo,sell,superid,source,propertytype,propertyzipcode,age,size,popdensity,bbb,caprate,bbbdev,yrqtr,latitude,longitude,reis_sector,region_code,REIS_Market_ID,Submarket_Number,Market_Submarket_ID,effective_rent_per_uom_amt,vacancy_pct
202312,324,1425 SOUTH ACACIA AVENUE,cmbs,IN,92831,45,66980,2210.1,0.06031,0.035768661,-0.237227143,20234,33.85603727,-117.90061,,R3,OC,2,OC2,9.69,
202312,324,9823 Crescent Center Drive,cmbs,IN,91730,34,10874,1784,0.06031,0.035971852,-0.237227143,20234,34.08140759,-117.5904706,,R3,SB,5,SB5,13.76,
20226,306,900 - 1000 TYRONE PIKE,cmbs,IN,40383,61,791035,0,0.0512,0.036270912,0.129630975,20222,38.047186,-84.751275,,R2,LX,,,5.2,
20226,306,900-1000 TYRONE PIKE,cmbs,IN,40383,61,791035,0,0.0512,0.036270912,0.129630975,20222,38.047186,-84.751275,,R2,LX,,,5.2,
20228,308,1051 UNION  STREET 1729 CHAPIN ROAD,cmbs,IN,90640,69,241584,7366.505712,0.05263,0.036951472,0.312532222,20223,33.97826,-118.12036,,R3,LA,2,LA2,12.03,0.01
20194,268,282516,cmbs,IN,11249,39,92000,8377.3,0.04212043,0.037248883,-0.195897224,20192,40.70108198,-73.96422404,Ind,R4,NY,,,16.9,0.049
202312,324,3300 Espresso Way,cmbs,IN,17406,14,603000,172.6,0.06031,0.037465871,-0.237227143,20234,40.05583164,-76.74559849,,R4,,,,7.83,
20242,326,1141-1159 ANDOVER PARK WEST,cmbs,IN,98102,52,95132,6228.4,0.05524,0.037496295,-0.486637225,20241,47.44475645,-122.2571409,,R3,SE,10,SE10,9.24,
202312,324,6831 Ruppsville Road,cmbs,IN,18106,38,80000,322.6,0.06031,0.037537656,-0.237227143,20234,40.57652751,-75.60067433,,R4,AN,2,AN2,7.95,
20242,326,17611-17649 128TH PLACE NORTHEAST,cmbs,IN,98072,37,56158,475.2,0.05524,0.0378394,-0.486637225,20241,47.75446946,-122.1707261,,R3,SE,6,SE6,11.93,
